asv_id,kingdom,phylum,class,order,family,genus,species,Taxonomy
ASV212,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Rhodoluna,Unassigned,Bacteria{superkingdom}(99);Actinobacteria{phylum}(99);Actinobacteria{class}(99);Actinomycetales{order}(99);Microbacteriaceae{family}(99);Rhodoluna{genus}(99);Unassigned{species}(0)
ASV213,Bacteria,Proteobacteria,Alphaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV214,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV215,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Unassigned,Bacteria{superkingdom}(81);Proteobacteria{phylum}(81);Gammaproteobacteria{class}(81);Vibrionales{order}(81);Vibrionaceae{family}(81);Vibrio{genus}(81);Unassigned{species}(0)
ASV216,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Gammaproteobacteria{class}(100);Alteromonadales{order}(100);Alteromonadaceae{family}(100);Alteromonas{genus}(100);Unassigned{species}(0)
ASV217,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,,,Unassigned,Bacteria{superkingdom}(97);Proteobacteria{phylum}(97);Gammaproteobacteria{class}(97);Gammaproteobacteria_incertae_sedis{order}(97);{family}(97);{genus}(97);Unassigned{species}(0)
ASV218,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,,uncultured_marine_organism,Bacteria{superkingdom}(85);Actinobacteria{phylum}(85);Actinobacteria{class}(85);Acidimicrobiales{order}(85);Iamiaceae{family}(85);{genus}(85);uncultured_marine_organism{species}(85)
ASV219,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cryptosporangiaceae,,uncultured_bacterium,Bacteria{superkingdom}(86);Actinobacteria{phylum}(86);Actinobacteria{class}(86);Actinomycetales{order}(86);Cryptosporangiaceae{family}(86);{genus}(86);uncultured_bacterium{species}(86)
ASV220,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,Bacteroidetes_bacterium_SCGC_AAA015-O21,Bacteria{superkingdom}(85);Bacteroidetes{phylum}(85);Flavobacteriia{class}(85);Flavobacteriales{order}(85);Flavobacteriaceae{family}(85);{genus}(85);Bacteroidetes_bacterium_SCGC_AAA015-O21{species}(85)
ASV221,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Gammaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV222,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Ponticaulis,Ponticaulis_koreensis,Bacteria{superkingdom}(97);Proteobacteria{phylum}(97);Alphaproteobacteria{class}(97);Caulobacterales{order}(97);Hyphomonadaceae{family}(97);Ponticaulis{genus}(97);Ponticaulis_koreensis{species}(97)
ASV223,Bacteria,Marinimicrobia,,,,Marinimicrobia_genera_incertae_sedis,Unassigned,Bacteria{superkingdom}(100);Marinimicrobia{phylum}(100);{class}(100);{order}(100);{family}(100);Marinimicrobia_genera_incertae_sedis{genus}(100);Unassigned{species}(0)
ASV224,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,uncultured_marine_microorganism,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Flavobacteriia{class}(100);Flavobacteriales{order}(100);Flavobacteriaceae{family}(100);{genus}(100);uncultured_marine_microorganism{species}(100)
ASV227,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesonia,Unassigned,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Flavobacteriia{class}(100);Flavobacteriales{order}(100);Flavobacteriaceae{family}(100);Mesonia{genus}(100);Unassigned{species}(0)
ASV228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Rhodobacterales{order}(100);Rhodobacteraceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV229,Bacteria,Proteobacteria,Gammaproteobacteria,,,,uncultured_gamma_proteobacterium_HF0130_25M15,Bacteria{superkingdom}(93);Proteobacteria{phylum}(93);Gammaproteobacteria{class}(93);{order}(93);{family}(93);{genus}(93);uncultured_gamma_proteobacterium_HF0130_25M15{species}(93)
ASV231,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Portibacter,uncultured_bacterium,Bacteria{superkingdom}(80);Bacteroidetes{phylum}(80);Sphingobacteriia{class}(80);Sphingobacteriales{order}(80);Saprospiraceae{family}(80);Portibacter{genus}(80);uncultured_bacterium{species}(80)
ASV232,Bacteria,Actinobacteria,Actinobacteria,,,,Unassigned,Bacteria{superkingdom}(98);Actinobacteria{phylum}(98);Actinobacteria{class}(98);{order}(98);{family}(98);{genus}(98);Unassigned{species}(0)
ASV234,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Rhodobacterales{order}(100);Rhodobacteraceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV235,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,Unassigned,Bacteria{superkingdom}(100);Actinobacteria{phylum}(100);Actinobacteria{class}(100);Acidimicrobiales{order}(100);Acidimicrobiaceae{family}(100);Ilumatobacter{genus}(100);Unassigned{species}(0)
ASV236,Bacteria,,,,,,Unassigned,Bacteria{superkingdom}(80);{phylum}(80);{class}(80);{order}(80);{family}(80);{genus}(80);Unassigned{species}(0)
ASV239,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Gammaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV240,Bacteria,Bacteroidetes,,,,,uncultured_marine_bacterium,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);{class}(100);{order}(100);{family}(100);{genus}(100);uncultured_marine_bacterium{species}(100)
ASV241,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Gammaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV242,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Gammaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV243,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Actinobacteria{phylum}(100);Actinobacteria{class}(100);Acidimicrobiales{order}(100);Iamiaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV244,Bacteria,Proteobacteria,Alphaproteobacteria,,,,alpha_proteobacterium_SCGC_AAA008-G20,Bacteria{superkingdom}(97);Proteobacteria{phylum}(97);Alphaproteobacteria{class}(97);{order}(97);{family}(97);{genus}(97);alpha_proteobacterium_SCGC_AAA008-G20{species}(97)
ASV245,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV246,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,unidentified_marine_bacterioplankton,Bacteria{superkingdom}(85);Bacteroidetes{phylum}(85);Flavobacteriia{class}(85);Flavobacteriales{order}(85);Flavobacteriaceae{family}(85);{genus}(85);unidentified_marine_bacterioplankton{species}(85)
ASV247,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina_seosinensis,Bacteria{superkingdom}(82);Proteobacteria{phylum}(82);Gammaproteobacteria{class}(82);Alteromonadales{order}(82);Idiomarinaceae{family}(82);Idiomarina{genus}(82);Idiomarina_seosinensis{species}(82)
ASV248,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,,unidentified_marine_bacterioplankton,Bacteria{superkingdom}(99);Proteobacteria{phylum}(99);Alphaproteobacteria{class}(99);Caulobacterales{order}(99);Hyphomonadaceae{family}(99);{genus}(99);unidentified_marine_bacterioplankton{species}(99)
ASV249,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV251,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV252,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,,Unassigned,Unassigned,Bacteria{superkingdom}(91);Proteobacteria{phylum}(91);Gammaproteobacteria{class}(91);Gammaproteobacteria_incertae_sedis{order}(91);{family}(91);Unassigned{genus}(0);Unassigned{species}(0)
ASV253,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Rhodobacterales{order}(100);Rhodobacteraceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV254,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Aquihabitans,uncultured_Gram-positive_bacterium,Bacteria{superkingdom}(98);Actinobacteria{phylum}(98);Actinobacteria{class}(98);Acidimicrobiales{order}(98);Iamiaceae{family}(98);Aquihabitans{genus}(98);uncultured_Gram-positive_bacterium{species}(98)
ASV255,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Unassigned,Bacteria{superkingdom}(99);Proteobacteria{phylum}(99);Gammaproteobacteria{class}(99);Oceanospirillales{order}(99);Halomonadaceae{family}(99);Halomonas{genus}(99);Unassigned{species}(0)
ASV256,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,,uncultured_marine_microorganism,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Sphingobacteriia{class}(100);Sphingobacteriales{order}(100);Saprospiraceae{family}(100);{genus}(100);uncultured_marine_microorganism{species}(100)
ASV259,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV261,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Rhodospirillales{order}(100);Rhodospirillaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV262,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,,,unidentified_marine_bacterioplankton,Bacteria{superkingdom}(97);Bacteroidetes{phylum}(97);Cytophagia{class}(97);Cytophagales{order}(97);{family}(97);{genus}(97);unidentified_marine_bacterioplankton{species}(97)
ASV263,Bacteria,Marinimicrobia,,,,Marinimicrobia_genera_incertae_sedis,Unassigned,Bacteria{superkingdom}(100);Marinimicrobia{phylum}(100);{class}(100);{order}(100);{family}(100);Marinimicrobia_genera_incertae_sedis{genus}(100);Unassigned{species}(0)
ASV264,Bacteria,Marinimicrobia,,,,Marinimicrobia_genera_incertae_sedis,unidentified_marine_bacterioplankton,Bacteria{superkingdom}(98);Marinimicrobia{phylum}(98);{class}(98);{order}(98);{family}(98);Marinimicrobia_genera_incertae_sedis{genus}(98);unidentified_marine_bacterioplankton{species}(98)
ASV265,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV266,Bacteria,Marinimicrobia,,,,Marinimicrobia_genera_incertae_sedis,Unassigned,Bacteria{superkingdom}(100);Marinimicrobia{phylum}(100);{class}(100);{order}(100);{family}(100);Marinimicrobia_genera_incertae_sedis{genus}(100);Unassigned{species}(0)
ASV267,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,Unassigned,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Flavobacteriia{class}(100);Flavobacteriales{order}(100);Flavobacteriaceae{family}(100);{genus}(100);Unassigned{species}(0)
ASV268,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Rhodobacterales{order}(100);Rhodobacteraceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV269,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV270,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Flavobacteriia{class}(100);Flavobacteriales{order}(100);Flavobacteriaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV271,Bacteria,Proteobacteria,,,,,uncultured_SAR324_cluster_bacterium,Bacteria{superkingdom}(90);Proteobacteria{phylum}(90);{class}(90);{order}(90);{family}(90);{genus}(90);uncultured_SAR324_cluster_bacterium{species}(90)
ASV272,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Flavobacteriia{class}(100);Flavobacteriales{order}(100);Flavobacteriaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV273,Bacteria,Verrucomicrobia,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Bacteria{superkingdom}(100);Verrucomicrobia{phylum}(100);Unassigned{class}(0);Unassigned{order}(0);Unassigned{family}(0);Unassigned{genus}(0);Unassigned{species}(0)
ASV274,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Trabulsiella,uncultured_gamma_proteobacterium,Bacteria{superkingdom}(98);Proteobacteria{phylum}(98);Gammaproteobacteria{class}(98);Enterobacteriales{order}(98);Enterobacteriaceae{family}(98);Trabulsiella{genus}(98);uncultured_gamma_proteobacterium{species}(98)
ASV275,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,,,uncultured_marine_bacterium,Bacteria{superkingdom}(99);Bacteroidetes{phylum}(99);Sphingobacteriia{class}(99);Sphingobacteriales{order}(99);{family}(99);{genus}(99);uncultured_marine_bacterium{species}(99)
ASV276,Bacteria,Proteobacteria,Alphaproteobacteria,,,,alpha_proteobacterium_SCGC_AAA300-G15,Bacteria{superkingdom}(86);Proteobacteria{phylum}(86);Alphaproteobacteria{class}(86);{order}(86);{family}(86);{genus}(86);alpha_proteobacterium_SCGC_AAA300-G15{species}(86)
ASV277,Bacteria,Proteobacteria,Gammaproteobacteria,,,,uncultured_gamma_proteobacterium_HF0130_23I23,Bacteria{superkingdom}(83);Proteobacteria{phylum}(83);Gammaproteobacteria{class}(83);{order}(83);{family}(83);{genus}(83);uncultured_gamma_proteobacterium_HF0130_23I23{species}(83)
ASV278,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Owenweeksia,Bacteroidetes_bacterium_SCGC_AAA160-F08,Bacteria{superkingdom}(99);Bacteroidetes{phylum}(99);Flavobacteriia{class}(99);Flavobacteriales{order}(99);Cryomorphaceae{family}(99);Owenweeksia{genus}(99);Bacteroidetes_bacterium_SCGC_AAA160-F08{species}(99)
ASV280,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Rhodobacterales{order}(100);Rhodobacteraceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV281,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Planctomycetes{phylum}(100);Planctomycetia{class}(100);Planctomycetales{order}(100);Planctomycetaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV282,Bacteria,Proteobacteria,Gammaproteobacteria,,,,uncultured_SAR156_cluster_gamma_proteobacterium,Bacteria{superkingdom}(99);Proteobacteria{phylum}(99);Gammaproteobacteria{class}(99);{order}(99);{family}(99);{genus}(99);uncultured_SAR156_cluster_gamma_proteobacterium{species}(99)
ASV283,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Unassigned,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Flavobacteriia{class}(100);Flavobacteriales{order}(100);Flavobacteriaceae{family}(100);Mesoflavibacter{genus}(100);Unassigned{species}(0)
ASV284,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,Unassigned,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Flavobacteriia{class}(100);Flavobacteriales{order}(100);Flavobacteriaceae{family}(100);{genus}(100);Unassigned{species}(0)
ASV285,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,Unassigned,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Flavobacteriia{class}(100);Flavobacteriales{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV286,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Gammaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV288,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Rhodobacterales{order}(100);Rhodobacteraceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV289,Bacteria,Proteobacteria,Alphaproteobacteria,,,,uncultured_Rhodospirillales_bacterium,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);uncultured_Rhodospirillales_bacterium{species}(100)
ASV290,Bacteria,Actinobacteria,Actinobacteria,,,,Unassigned,Bacteria{superkingdom}(80);Actinobacteria{phylum}(80);Actinobacteria{class}(80);{order}(80);{family}(80);{genus}(80);Unassigned{species}(0)
ASV291,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,,unidentified_marine_bacterioplankton,Bacteria{superkingdom}(92);Verrucomicrobia{phylum}(92);Verrucomicrobiae{class}(92);Verrucomicrobiales{order}(92);Verrucomicrobiaceae{family}(92);{genus}(92);unidentified_marine_bacterioplankton{species}(92)
ASV292,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,Unassigned,Bacteria{superkingdom}(99);Bacteroidetes{phylum}(99);Flavobacteriia{class}(99);Flavobacteriales{order}(99);Flavobacteriaceae{family}(99);{genus}(99);Unassigned{species}(0)
ASV293,Bacteria,Proteobacteria,Alphaproteobacteria,,,,alpha_proteobacterium_SCGC_AAA298-F10,Bacteria{superkingdom}(93);Proteobacteria{phylum}(93);Alphaproteobacteria{class}(93);{order}(93);{family}(93);{genus}(93);alpha_proteobacterium_SCGC_AAA298-F10{species}(93)
ASV294,Bacteria,Proteobacteria,Alphaproteobacteria,,,,uncultured_Synechococcus_sp.,Bacteria{superkingdom}(99);Proteobacteria{phylum}(99);Alphaproteobacteria{class}(99);{order}(99);{family}(99);{genus}(99);uncultured_Synechococcus_sp.{species}(99)
ASV295,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV297,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(97);Proteobacteria{phylum}(97);Gammaproteobacteria{class}(97);{order}(97);{family}(97);{genus}(97);Unassigned{species}(0)
ASV298,Bacteria,Proteobacteria,Gammaproteobacteria,,,,uncultured_marine_microorganism,Bacteria{superkingdom}(84);Proteobacteria{phylum}(84);Gammaproteobacteria{class}(84);{order}(84);{family}(84);{genus}(84);uncultured_marine_microorganism{species}(84)
ASV299,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Unassigned,Unassigned,Bacteria{superkingdom}(94);Actinobacteria{phylum}(94);Actinobacteria{class}(94);Acidimicrobiales{order}(94);Iamiaceae{family}(94);Unassigned{genus}(0);Unassigned{species}(0)
ASV300,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_nereis,Bacteria{superkingdom}(92);Proteobacteria{phylum}(92);Gammaproteobacteria{class}(92);Vibrionales{order}(92);Vibrionaceae{family}(92);Vibrio{genus}(92);Vibrio_nereis{species}(92)
ASV302,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fabibacter,Unassigned,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Cytophagia{class}(100);Cytophagales{order}(100);Flammeovirgaceae{family}(100);Fabibacter{genus}(100);Unassigned{species}(0)
ASV303,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Unassigned,Unassigned,Unassigned,Bacteria{superkingdom}(98);Proteobacteria{phylum}(98);Gammaproteobacteria{class}(98);Chromatiales{order}(98);Unassigned{family}(0);Unassigned{genus}(0);Unassigned{species}(0)
ASV304,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Labrenzia,Unassigned,Bacteria{superkingdom}(98);Proteobacteria{phylum}(98);Alphaproteobacteria{class}(98);Rhodobacterales{order}(98);Rhodobacteraceae{family}(98);Labrenzia{genus}(98);Unassigned{species}(0)
ASV305,Bacteria,Verrucomicrobia,,,,,Unassigned,Bacteria{superkingdom}(98);Verrucomicrobia{phylum}(98);{class}(98);{order}(98);{family}(98);{genus}(98);Unassigned{species}(0)
ASV306,Bacteria,Proteobacteria,Deltaproteobacteria,,,,unidentified_marine_bacterioplankton,Bacteria{superkingdom}(91);Proteobacteria{phylum}(91);Deltaproteobacteria{class}(91);{order}(91);{family}(91);{genus}(91);unidentified_marine_bacterioplankton{species}(91)
ASV307,Bacteria,Proteobacteria,Alphaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV308,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV310,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV311,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Bacteria{superkingdom}(100);Unassigned{phylum}(0);Unassigned{class}(0);Unassigned{order}(0);Unassigned{family}(0);Unassigned{genus}(0);Unassigned{species}(0)
ASV314,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Actinobacteria{phylum}(100);Actinobacteria{class}(100);Acidimicrobiales{order}(100);Iamiaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV315,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius,Unassigned,Bacteria{superkingdom}(97);Proteobacteria{phylum}(97);Alphaproteobacteria{class}(97);Rhodobacterales{order}(97);Rhodobacteraceae{family}(97);Thalassobius{genus}(97);Unassigned{species}(0)
ASV316,Bacteria,Proteobacteria,Alphaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(99);Proteobacteria{phylum}(99);Alphaproteobacteria{class}(99);{order}(99);{family}(99);{genus}(99);Unassigned{species}(0)
ASV319,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Unassigned,Unassigned,Unassigned,Bacteria{superkingdom}(100);Actinobacteria{phylum}(100);Actinobacteria{class}(100);Acidimicrobiales{order}(100);Unassigned{family}(0);Unassigned{genus}(0);Unassigned{species}(0)
ASV320,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Actinobacteria{phylum}(100);Actinobacteria{class}(100);Acidimicrobiales{order}(100);Iamiaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV323,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Persicirhabdus,Unassigned,Bacteria{superkingdom}(88);Verrucomicrobia{phylum}(88);Verrucomicrobiae{class}(88);Verrucomicrobiales{order}(88);Verrucomicrobiaceae{family}(88);Persicirhabdus{genus}(88);Unassigned{species}(0)
ASV325,Bacteria,Proteobacteria,Alphaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV326,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,,,uncultured_marine_bacterium,Bacteria{superkingdom}(99);Proteobacteria{phylum}(99);Gammaproteobacteria{class}(99);Chromatiales{order}(99);{family}(99);{genus}(99);uncultured_marine_bacterium{species}(99)
