asv_id,kingdom,phylum,class,order,family,genus,species,Taxonomy
ASV26,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,,unidentified_marine_bacterioplankton,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Sphingobacteriia{class}(100);Sphingobacteriales{order}(100);Saprospiraceae{family}(100);{genus}(100);unidentified_marine_bacterioplankton{species}(100)
ASV28,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,Unassigned,Bacteria{superkingdom}(94);Proteobacteria{phylum}(94);Alphaproteobacteria{class}(94);Rhodobacterales{order}(94);Rhodobacteraceae{family}(94);{genus}(94);Unassigned{species}(0)
ASV29,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV31,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(98);Proteobacteria{phylum}(98);Gammaproteobacteria{class}(98);{order}(98);{family}(98);{genus}(98);Unassigned{species}(0)
ASV32,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,uncultured_marine_microorganism,Bacteria{superkingdom}(99);Proteobacteria{phylum}(99);Alphaproteobacteria{class}(99);Rhizobiales{order}(99);{family}(99);{genus}(99);uncultured_marine_microorganism{species}(99)
ASV33,Bacteria,Marinimicrobia,,,,Marinimicrobia_genera_incertae_sedis,Unassigned,Bacteria{superkingdom}(100);Marinimicrobia{phylum}(100);{class}(100);{order}(100);{family}(100);Marinimicrobia_genera_incertae_sedis{genus}(100);Unassigned{species}(0)
ASV35,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV37,Bacteria,Actinobacteria,Actinobacteria,,,,uncultured_marine_microorganism,Bacteria{superkingdom}(97);Actinobacteria{phylum}(97);Actinobacteria{class}(97);{order}(97);{family}(97);{genus}(97);uncultured_marine_microorganism{species}(97)
ASV38,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV39,Bacteria,Proteobacteria,Alphaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV41,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,Unassigned,Bacteria{superkingdom}(98);Proteobacteria{phylum}(98);Alphaproteobacteria{class}(98);Caulobacterales{order}(98);Hyphomonadaceae{family}(98);Hyphomonas{genus}(98);Unassigned{species}(0)
ASV42,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,Unassigned,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Flavobacteriia{class}(100);Flavobacteriales{order}(100);Flavobacteriaceae{family}(100);{genus}(100);Unassigned{species}(0)
ASV43,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,Unassigned,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Flavobacteriia{class}(100);Flavobacteriales{order}(100);Flavobacteriaceae{family}(100);{genus}(100);Unassigned{species}(0)
ASV44,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Gammaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV45,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,bacterium_WHC3-2,Bacteria{superkingdom}(99);Bacteroidetes{phylum}(99);Flavobacteriia{class}(99);Flavobacteriales{order}(99);Flavobacteriaceae{family}(99);{genus}(99);bacterium_WHC3-2{species}(99)
ASV46,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV47,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,Unassigned,Bacteria{superkingdom}(96);Proteobacteria{phylum}(96);Alphaproteobacteria{class}(96);Rhodobacterales{order}(96);Rhodobacteraceae{family}(96);{genus}(96);Unassigned{species}(0)
ASV48,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,,unidentified_marine_bacterioplankton,Bacteria{superkingdom}(97);Actinobacteria{phylum}(97);Actinobacteria{class}(97);Acidimicrobiales{order}(97);Iamiaceae{family}(97);{genus}(97);unidentified_marine_bacterioplankton{species}(97)
ASV49,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV52,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,unidentified_marine_bacterioplankton,Bacteria{superkingdom}(89);Bacteroidetes{phylum}(89);Flavobacteriia{class}(89);Flavobacteriales{order}(89);Flavobacteriaceae{family}(89);{genus}(89);unidentified_marine_bacterioplankton{species}(89)
ASV54,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Salinirepens,uncultured_marine_bacterium,Bacteria{superkingdom}(97);Bacteroidetes{phylum}(97);Flavobacteriia{class}(97);Flavobacteriales{order}(97);Cryomorphaceae{family}(97);Salinirepens{genus}(97);uncultured_marine_bacterium{species}(97)
ASV55,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Rhodobacterales{order}(100);Rhodobacteraceae{family}(100);Ruegeria{genus}(100);Unassigned{species}(0)
ASV56,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV57,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,unidentified_marine_bacterioplankton,Bacteria{superkingdom}(93);Bacteroidetes{phylum}(93);Flavobacteriia{class}(93);Flavobacteriales{order}(93);Flavobacteriaceae{family}(93);{genus}(93);unidentified_marine_bacterioplankton{species}(93)
ASV58,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Gammaproteobacteria{class}(100);Oceanospirillales{order}(100);Halomonadaceae{family}(100);Halomonas{genus}(100);Unassigned{species}(0)
ASV59,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureicoccus,uncultured_bacterium,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Flavobacteriia{class}(100);Flavobacteriales{order}(100);Flavobacteriaceae{family}(100);Aureicoccus{genus}(100);uncultured_bacterium{species}(100)
ASV60,Bacteria,Proteobacteria,,,,,uncultured_SAR324_cluster_bacterium,Bacteria{superkingdom}(91);Proteobacteria{phylum}(91);{class}(91);{order}(91);{family}(91);{genus}(91);uncultured_SAR324_cluster_bacterium{species}(91)
ASV61,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Unassigned,Unassigned,Bacteria{superkingdom}(98);Actinobacteria{phylum}(98);Actinobacteria{class}(98);Acidimicrobiales{order}(98);Iamiaceae{family}(98);Unassigned{genus}(0);Unassigned{species}(0)
ASV62,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Sphingomonadales{order}(100);Erythrobacteraceae{family}(100);Erythrobacter{genus}(100);Unassigned{species}(0)
ASV64,Bacteria,Proteobacteria,Gammaproteobacteria,,,,uncultured_gamma_proteobacterium_HF0130_25M15,Bacteria{superkingdom}(93);Proteobacteria{phylum}(93);Gammaproteobacteria{class}(93);{order}(93);{family}(93);{genus}(93);uncultured_gamma_proteobacterium_HF0130_25M15{species}(93)
ASV65,Bacteria,Actinobacteria,Actinobacteria,,,,Unassigned,Bacteria{superkingdom}(98);Actinobacteria{phylum}(98);Actinobacteria{class}(98);{order}(98);{family}(98);{genus}(98);Unassigned{species}(0)
ASV66,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Gammaproteobacteria{class}(100);Oceanospirillales{order}(100);Halomonadaceae{family}(100);Chromohalobacter{genus}(100);Unassigned{species}(0)
ASV67,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV68,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Rhodobacterales{order}(100);Rhodobacteraceae{family}(100);Oceanicola{genus}(100);Unassigned{species}(0)
ASV69,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureicoccus,uncultured_bacterium,Bacteria{superkingdom}(99);Bacteroidetes{phylum}(99);Flavobacteriia{class}(99);Flavobacteriales{order}(99);Flavobacteriaceae{family}(99);Aureicoccus{genus}(99);uncultured_bacterium{species}(99)
ASV71,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,Unassigned,Bacteria{superkingdom}(99);Bacteroidetes{phylum}(99);Flavobacteriia{class}(99);Flavobacteriales{order}(99);Flavobacteriaceae{family}(99);{genus}(99);Unassigned{species}(0)
ASV72,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius,Unassigned,Bacteria{superkingdom}(89);Proteobacteria{phylum}(89);Alphaproteobacteria{class}(89);Rhodobacterales{order}(89);Rhodobacteraceae{family}(89);Thalassobius{genus}(89);Unassigned{species}(0)
ASV73,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,,,unidentified_marine_bacterioplankton,Bacteria{superkingdom}(97);Bacteroidetes{phylum}(97);Cytophagia{class}(97);Cytophagales{order}(97);{family}(97);{genus}(97);unidentified_marine_bacterioplankton{species}(97)
ASV74,Bacteria,Marinimicrobia,,,,Marinimicrobia_genera_incertae_sedis,Unassigned,Bacteria{superkingdom}(100);Marinimicrobia{phylum}(100);{class}(100);{order}(100);{family}(100);Marinimicrobia_genera_incertae_sedis{genus}(100);Unassigned{species}(0)
ASV75,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,uncultured_Cytophagales_MB11E04,Bacteria{superkingdom}(92);Bacteroidetes{phylum}(92);Flavobacteriia{class}(92);Flavobacteriales{order}(92);Flavobacteriaceae{family}(92);{genus}(92);uncultured_Cytophagales_MB11E04{species}(92)
ASV77,Bacteria,Proteobacteria,Alphaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV79,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV80,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,Bacteroidetes_bacterium_SCGC_AAA015-O21,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);Flavobacteriia{class}(100);Flavobacteriales{order}(100);Flavobacteriaceae{family}(100);{genus}(100);Bacteroidetes_bacterium_SCGC_AAA015-O21{species}(100)
ASV81,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV82,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,uncultured_Marinovum_sp.,Bacteria{superkingdom}(85);Proteobacteria{phylum}(85);Alphaproteobacteria{class}(85);Rhodobacterales{order}(85);Rhodobacteraceae{family}(85);Roseovarius{genus}(85);uncultured_Marinovum_sp.{species}(85)
ASV83,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,,,unidentified_marine_bacterioplankton,Bacteria{superkingdom}(80);Proteobacteria{phylum}(80);Gammaproteobacteria{class}(80);Gammaproteobacteria_incertae_sedis{order}(80);{family}(80);{genus}(80);unidentified_marine_bacterioplankton{species}(80)
ASV84,Bacteria,Proteobacteria,Alphaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV86,Bacteria,Proteobacteria,,,,,Unassigned,Bacteria{superkingdom}(90);Proteobacteria{phylum}(90);{class}(90);{order}(90);{family}(90);{genus}(90);Unassigned{species}(0)
ASV88,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV89,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita,Unassigned,Bacteria{superkingdom}(100);Verrucomicrobia{phylum}(100);Opitutae{class}(100);Puniceicoccales{order}(100);Puniceicoccaceae{family}(100);Coraliomargarita{genus}(100);Unassigned{species}(0)
ASV90,Bacteria,Proteobacteria,Gammaproteobacteria,,,,gamma_proteobacterium_SCGC_AAA298-D20,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Gammaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);gamma_proteobacterium_SCGC_AAA298-D20{species}(100)
ASV91,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Aquihabitans,uncultured_Gram-positive_bacterium,Bacteria{superkingdom}(96);Actinobacteria{phylum}(96);Actinobacteria{class}(96);Acidimicrobiales{order}(96);Iamiaceae{family}(96);Aquihabitans{genus}(96);uncultured_Gram-positive_bacterium{species}(96)
