,E101_1,E101_2,E101_3,E103_1,E103_2,E103_3,E105_1,E105_2,E105_3,E107_1,E107_2,E107_3,E201_1,E201_2,E201_3,E203_1,E203_2,E203_3,E205_1,E205_2,E205_3,E207_1,E207_2,E207_3,E209_1,E209_2,E209_3,E303_1,E303_2,E303_3,E305_1,E305_2,E305_3,E307_1,E307_2,E307_3,E309_1,E309_2,E309_3,E401_1,E401_2,E401_3,E403_1,E403_2,E403_3,E405_1,E405_2,E405_3,E407_1,E407_2,E407_3,E501_1,E501_2,E501_3,E503_1,E503_2,E503_3,E505_1,E505_2,E505_3,E507_1,E507_2,E507_3,E509_1,E509_2,E509_3,E603_1,E603_2,E603_3,E605_1,E605_2,E605_3,E607_1,E607_2,E607_3,E609_1,E609_2,E609_3
ASV14,41,361,354,0,174,307,262,129,289,277,27,234,31,220,339,189,131,264,661,325,278,434,197,225,582,265,175,86,145,319,50,338,247,87,220,152,675,266,148,62,305,272,33,149,301,22,38,310,121,299,262,216,299,316,40,368,387,97,272,444,272,396,233,559,293,61,225,410,394,28,295,346,83,105,529,309,433,308
ASV15,147,119,70,163,66,36,238,18,46,26,4,20,36,72,50,217,48,55,168,74,18,248,28,8,143,10,7,267,118,29,596,38,21,64,75,6,30,9,4,223,75,59,261,39,38,337,37,25,151,29,21,195,125,64,153,86,45,476,64,53,74,43,18,109,21,6,329,66,107,143,89,41,27,49,71,388,38,32
ASV17,457,21,33,172,0,0,240,22,0,24,0,0,658,64,29,643,0,0,36,0,0,161,0,0,169,0,0,434,15,0,700,0,0,584,0,0,46,0,0,375,14,0,675,0,23,1068,1044,6,735,0,0,400,67,15,783,4,0,453,368,0,536,508,0,61,0,0,381,0,0,276,107,18,186,481,71,494,0,0
ASV18,288,46,38,12,127,11,55,0,5,0,13,2,1277,322,73,188,30,16,0,0,0,30,0,7,48,6,0,669,55,41,218,3,12,1193,30,16,28,16,5,300,66,67,324,92,29,750,2058,17,671,5,5,170,53,38,438,24,33,83,168,30,706,384,64,11,11,18,36,0,12,1634,144,54,1234,1090,90,132,18,0
ASV19,32,147,73,0,95,30,21,26,59,34,13,18,28,82,127,121,135,119,127,41,34,219,31,5,48,15,0,37,42,31,16,20,19,38,35,0,78,14,0,129,128,101,23,49,44,19,52,26,36,24,24,126,149,309,43,172,29,95,176,24,57,66,19,111,5,0,146,117,89,39,272,204,19,23,119,154,52,40
ASV21,13,570,391,0,22,108,20,17,114,3,3,92,16,134,276,3,5,186,94,63,309,12,8,278,9,196,156,14,26,213,0,219,264,2,37,164,63,207,136,8,216,331,5,49,215,0,0,259,1,131,248,63,182,266,17,382,255,19,115,334,19,74,208,120,168,76,72,204,207,3,94,155,8,7,341,44,191,243
ASV23,71,56,35,6,749,86,589,218,94,104,492,158,92,114,19,222,231,49,79,149,31,99,139,95,42,84,144,11,108,59,39,15,35,70,210,76,52,64,109,0,8,18,10,30,2,0,48,1,7,5,11,0,0,3,0,1,0,0,9,1,0,0,10,0,16,17,0,0,0,0,0,0,3,6,0,3,1,17
ASV24,0,92,142,0,0,140,0,21,78,0,18,80,12,56,96,0,22,122,10,76,120,9,36,116,5,103,116,7,29,113,0,123,135,0,31,101,5,131,113,17,139,136,0,52,121,0,0,121,0,79,125,26,117,120,0,98,72,0,5,77,0,2,90,0,89,56,24,109,136,0,35,47,0,0,39,8,30,60
ASV25,344,70,38,105,65,14,132,54,39,29,6,6,663,272,42,426,24,50,17,13,7,112,0,6,145,6,15,797,49,13,886,14,0,1241,0,14,25,0,9,476,84,52,851,69,16,695,1032,34,436,0,0,442,90,32,330,21,29,112,240,15,214,312,20,6,1,8,282,8,13,1163,188,53,883,967,76,61,0,13
ASV26,63,8,7,67,2,1,28,11,0,9,0,1,62,23,8,74,0,1,6,1,0,159,1,0,155,1,0,304,4,4,256,0,0,1053,6,0,11,3,0,76,3,4,123,12,4,697,61,3,592,0,0,56,2,3,156,12,16,196,44,6,328,263,8,7,3,8,68,0,1,135,20,12,230,367,17,241,2,1
